,document,summary
213,A selection of your pictures of Scotland sent in between 30 June and 7 July. Send your photos to scotlandpictures@bbc.co.uk or via Instagram at #bbcscotlandpics,All pictures are copyrighted.
214,"The 22-year-old barber, from Newtownabbey, County Antrim, has not been seen for almost a week.
He was last seen in the Carnmoney Road area of Newtownabbey shortly before 13:00 BST on Thursday, 13 July.
Officers have also revised details of what they believe he was wearing on the day of his disappearance.
Det Insp Chris Millar said: ""It has now been established that Dean was wearing a short-sleeve maroon shirt, denim knee-length shorts and dark-coloured canvas shoes.
""He was wearing a gold watch on his right wrist.""
Mr McIlwaine is 5'8"" in height and of medium build.
He has dark hair, a beard and sleeve tattoos on both arms.
Anyone with information on his whereabouts is asked to contact police by calling 101, quoting reference number 121 of 14/7/17.",Police searching for Dean McIlwaine have released CCTV footage taken on the day he went missing as they renewed their appeal for information.
215,"Regardless of the horse race that sprung from Lord Derby calling it right and winning that toss at Epsom in 1779, defeat would have had a much wider significance.
The event and its name are believed to be the root of the expression 'derby match', and it's worth considering that the loser was Sir Charles Bunbury.
You'll agree the 'Merseyside Bunbury' or the 'North London Bunbury' hardly have the same ring.
More than two centuries on from that coin toss to decide whose name the race should take, trainer John Gosden - who is due to have five runners in the 238th Derby, including big fancy Cracksman - marvels at what was created.
""It's a unique track,"" he says, staring out over the course as it snakes its way up, down and around the Surrey Downs barely 15 miles south west of central London.
""Obviously Bunbury and Derby had had a very good lunch when they came up here and pegged it out and flipped a coin.
""It's a very demanding track. You have to stay, you have to have great dexterity, agility, balance and a turn of foot comes in very handy.
""It is a proper test of a horse - you wouldn't necessarily design it as a track for anything other than a rigorous test of a three-year-old in the first week of June, and that's what it is.""
Gosden, whose ever-powerful string based at Newmarket is the biggest threat to the prevailing dominance of Ireland's Aidan O'Brien, should know.
It's 20 years since he saddled Benny The Dip to win, and two since he masterminded Golden Horn's big-race success with Frankie Dettori riding in the silks of owner-breeder Anthony Oppenheimer.
Golden Horn, who by that point had won the regularly significant Dante Stakes at York, went on to stamp his authority on proceedings that season.
After Epsom, he galloped off with the Eclipse Stakes, the Irish Champion Stakes and the Prix de l'Arc de Triomphe before suffering one of just two defeats, at the Breeders' Cup fixture in Kentucky.
Cracksman represents the same owner-trainer-jockey combination, and comes to Epsom with two wins from two starts, the second at Epsom when narrowly beating fellow Derby hopeful - and this year's Dante winner - Permian.
""Cracksman is not a Golden Horn,"" Gosden told BBC Sport, ""but he's a superior horse to Benny The Dip.
""He's still learning a lot, and when he came here and won the trial he grew up overnight, so we're excited.""
Believing there is no standout in this year's Derby, worth a total of nearly £1.625m - a record, Gosden fields three more runners than ever before.
Cracksman, who like fellow leading contender Eminent is a son of champion racehorse-turned-fledgling stallion Frankel, is joined by striking Goodwood winner Khalidi - added as a late entry, for £85,000 - plus three longer shots in Crowned Eagle, Glencadam Glory and Pealer.
A multitude of runners under a single, or near-single, banner is something of a feature of the 2017 staging of the world's best-known flat racing prize.
O'Brien - looking for a sixth win after Galileo, High Chaparral, Camelot, Ruler Of The World and Australia - saddles another formidable Coolmore-owned challenge.
Cliffs Of Moher, winner of the Dee Stakes at Chester, with Ryan Moore riding, leads six, ahead of well-supported Capri and Venice Beach. Douglas Macarthur, The Anvil - on which the trainer's apprentice jockey daughter Ana becomes the third female jockey to take part - and Wings Of Eagle make up the raiding party.
O'Brien's son Joseph, the jockey on board when Camelot and Australia were victorious but now training, saddles Rekindling.
Via his Godolphin operation and his son Sheikh Hamdan bin Mohammed, owner Sheikh Mohammed is represented by Permian, Lingfield Trial winner Best Solution, once-raced Dubai Thunder and Benbatl, the Dante Stakes runner-up.
Strongly supported Eminent, sixth in the 2000 Guineas, trained by Martyn Meade and the mount of flat racing's champion jockey Jim Crowley, heads 'the rest'.
It does look genuinely wide open.
""We don't have any exceptional favourite standing out and frightening everyone away,"" said Gosden, whose father 'Towser' trained 1966 winner Charlottown as a two-year-old before ill health forced his own retirement.
""That's why we're winding up with a pretty big field. But I still think that the first three will be very, very good horses.
""The biggest problem is probably going to be for the jockeys getting around in a big field. You try riding around Epsom with so many other runners. It's not an easy job at all.""
Food for thought for apprentice jockey Paddy Pilley, who replaces Gina Mangan - barred from taking part on safety grounds - on 1,000-1 outsider Diore Lia.
However, the presence of Diore Lia, the large field and the chance for Frankel to father a first European Classic winner gives the whole thing an intriguing narrative.
It'll take a lot more than a spin of a coin to sort out this one.","It was, it can be argued, the most significant toss of a coin in British sporting history."
216,"Swansea's Indoor Market and bus station were also closed but officers reopened affected areas just before 17:00 BST.
South Wales Police had received reports of a suspect package at about 14:00.
They said the incident had caused ""significant disruption"".
Bus operator First Cymru said services were returning to normal but delays may continue.
A police spokesman said: ""While we ask people to be vigilant, we will take robust action against anyone who causes significant disruption through hoax activity.""","A man has been arrested following the evacuation of Swansea's Quadrant shopping centre after reports of a suspicious package ""turned out to be a hoax""."
217,"Daw hyn ar ôl iddi ddod i'r amlwg fod y datblygwyr yn chwilio am fuddsoddwyr newydd.
Y llynedd roedd cwmni Orthios yn sôn am greu cannoedd o swyddi yng Nghaergybi, a hefyd yn y de ym Mhort Talbot.
Ond mae yna ansicrwydd oherwydd bod cytundeb gyda buddsoddwyr o China wedi mynd i'r gwellt, gan adael bwlch o £2bn.
Y gobaith yw y bydd y pwerdy yng Nghaergybi, ar hen safle Alwminiwm Môn,  yn creu hyd at 500 o swyddi.
Cafodd y safle ei brynu gan y cwmni yn 2015.
Dywedodd Dylan Williams, Pennaeth Rheoleiddio a Datblygu Economaidd Cyngor Môn, fod y cwmni yn awyddus i barhau gyda'r buddsoddiad a'r gwaith o gynhyrchu ynni.
""Yn amlwg mae'r sefyllfa ariannol wedi newid. Doedd yna ddim cytundeb ffurfiol i ariannu ond ein dealltwriaeth ni yw bod nhw'n edrych am ffynonellau gwahanol,"" meddai.",Mae Cyngor Môn yn dweud eu bod yn parhau'n ffyddiog y bydd cynllun i godi pwerdy biomas yno'n cael ei wireddu.
218,"It marks the sixth time in four years that the web portal has announced sizeable job cuts.
The news coincides with plans by Skype to create about 400 new posts across five cities.
The internet video-calling business - which is owned by Microsoft - said it was initially looking to take on staff in London and Stockholm.
Other posts will later be created in Tallinn, Estonia; Prague, Czech Republic; and Palo Alto in California, US.
Yahoo said its cuts aimed to deliver a""smaller, nimbler, more profitable""company that was cheaper to run. It added that the action was designed to save about $375m (Â£236m) a year.
The move follows a period of turmoil at the firm.
Carol Bartz was dismissed as chief executive in September after failing to turn around the company's fortunes. Chairman Roy Bostock and co-founder Jerry Yang also later resigned from its board.
In January, former Paypal executive Scott Thompson was named the organisation's fourth chief executive in five years.
A recent study by the analytics company Comscore suggested that Yahoo's share of online search queries in the USfell below 14% for the first time in February, putting it further behind Google and Microsoft.
A statement issued by Mr Thompson's said: ""We are intensifying our efforts on our core businesses and redeploying resources to our most urgent priorities. Our goal is to get back to our core purpose -putting our users and advertisers first - and we are moving aggressively to achieve that goal.""
It added that the firm would now focus on a ""deep"" personalised experience for users and a return on investment for investors.
The firm has not given any indication of when the cuts would be made. It said it would provide more information about its ""future direction"" when it released an earnings update on 17 April.
As Yahoo shrinks, Skype is growing. Once all the new positions are filled, the business expects to have 1,600 employees worldwide.
As part of the expansion it is launching a new technology centre in central London. It says the move would increase its headcount in the city by 40% to 330 posts.
The UK government's desire to monitor people using its services did not influence Skype's decision
It aims to have completed the first stage of the hiring process by the end of June.
Skype's vice-president of product and design told the BBC the new jobs would cover software engineering, product management and design.
""We have one project about 'big data', which is about making use of data that our users generate when using the product to improve the quality of the products we offer,"" said Rick Osterloh.
""We also a number of initiatives we are working on in the web area, and we are hiring some positions for our newly formed Xbox division.""
Skype's move signals that it is not overly concerned about the UK government's intention to give the country's security services increased access to internet data.
Deputy Prime Minister Nick Clegg has specifically identified Skype as one of the services that the government wants to be monitored.
A statement from Skype said that: ""We are not in a position to comment on the UK government's proposed legislation. We do of course comply with legislation in all countries in which we operate.""
Skype's use of peer-to-peer technology for its call and instant-messaging services means that it does not store the contents of communications on its servers, and so could not hand the information over unless it changed its systems.","Yahoo has confirmed it is axing about 2,000 posts, which amounts to 14% of its workforce being laid off."
219,"The Doncaster Central MP was one of three members to be chosen in a secret ballot, succeeding Natascha Engel who lost her seat at the election.
Labour's Lindsay Hoyle topped the ballot and was re-elected as chairman of ways and means. In that role, he will preside over Budget debates.
Tory Eleanor Laing was also re-elected as another deputy to John Bercow.
The Commons Speaker, who has held the role since 2009, was himself re-elected without a formal vote two weeks ago.
As he first stood for the Commons as a Conservative MP, Mr Bercow's deputies must be comprised of one Conservative and two opposition MPs to ensure balance.
Labour's Roberta Blackman-Woods was the only other candidate who stood in the election. Details of the number of votes each candidate got will be published later.
As no other Conservative candidate put their name forward, Mrs Laing was automatically chosen as first deputy chair of ways and means.
Deputy speakers, who stand in for Mr Bercow in the main Commons chamber and have a range of other duties, were elected for the first time in 2010.",Former Labour chief whip Dame Rosie Winterton has been elected as a deputy speaker of the House of Commons.
220,"Complaints about data collection by GCHQ, MI5 and MI6 were put forward by campaign group Privacy International.
The ruling said some data collection did not comply with the European Convention on Human Rights (ECHR).
But it added that proper statutory supervision was put in place last year.
It was a ""highly significant judgement"", Privacy International said.
As part of its review of the spy agencies' activities, the IPT examined the organisations' collection of communications data - involving the ""who, where, when, how and with whom"" was involved in conversations, but not their contents - and personal information about people.
Such data is ""vital for identifying and developing intelligence targets"", according to GCHQ.
Article 8 of the ECHR states, however, that all citizens have the right to a private life and that any interference with personal data must be lawful and necessary.
""It is very significant,"" said Graham Smith of London law firm Bird & Bird.
He added that much of the data collection had been carried out under an older piece of law - section 94 of the Telecommunications Act 1984.
""It gave absolutely no clue at all that it could be used for this particular purpose,"" said Mr Smith.
""Everyone accepts that what the agencies do operationally has to be secret, but the laws that say what they can and can't do shouldn't be secret.""
An official policy about how such data collection should be carried out lawfully came into force in February 2015 - this was put into practice by the intelligence agencies later the same year.
It included guidance as to how collected data should be acquired, managed and destroyed
The tribunal found that, prior to this, personal datasets compiled by spy agencies did not comply with Article 8 and were therefore ""unlawful"".
""The powers available to the security and intelligence agencies play a vital role in protecting the UK and its citizens,"" said the Home Office in a statement.
""We are therefore pleased the tribunal has confirmed the current lawfulness of the existing bulk communications data and bulk personal dataset regimes.""
It added that the government was ""committed"" to providing greater transparency and stronger safeguards for bulk data collection powers available to intelligence agencies.","UK spy agencies broke privacy rules by collecting large amounts of UK citizens' data without adequate oversight, the Investigatory Powers Tribunal (IPT) has ruled."
221,"Another five soldiers were wounded in a rocket attack on Turkish tanks, the military said in a statement.
The fatalities are believed to be the first since Turkey launched its operation inside Syria two weeks ago.
Two fighters from the Free Syrian Army were also killed and another two injured in the attack.
""Two of our hero comrades were martyred and five were wounded in a rocket attack on two of our tanks by Daesh (IS) elements,"" the army statement said.
The rocket attack was launched near the village of al-Waqf, it added.
Syrian rebels backed by Turkey say they have recaptured a number of villages from IS since the Turkish operation - code-named Euphrates Shield - began.
The rebels have also retaken the key border town of Jarabulus.
On Sunday, Turkey said IS fighters were pushed out of their last positions along the Turkish-Syrian border.
Turkish forces have targeted IS inside Syria, but have also attacked Kurdish fighters in the same region.
The pursuit of the Kurdish YPG militia has led to criticism by Washington, which regards the Kurds as one of the most effective forces in the battle against IS.","Two Turkish soldiers have been killed by the Islamic State (IS) group in clashes in northern Syria, the Turkish army has said."
222,"A statue of General Robert E Lee was among those taken down from the Austin campus early on Monday.
Monuments to Confederate figures are symbols of ""modern white supremacy and neo-Nazism"", the college said.
A woman's death at a far-right rally in Charlottesville has reignited debate over America's racial legacy.
""Last week, the horrific displays of hatred at the University of Virginia and in Charlottesville shocked and saddened the nation,"" University of Texas at Austin President Greg Fenves said on Sunday.
""These events make it clear, now more than ever, that Confederate monuments have become symbols of modern white supremacy and neo-Nazism.""
As well as Lee, who was military commander during the 1861-65 American Civil War, a statue of another rebel general, Albert Sidney Johnston, and of Confederate postmaster John H Reagan were taken down.
They were moved to a centre for American history on campus.
A statue of Texas Governor James Stephen Hogg, who served from 1891-95, was also removed and will be considered for re-installation at another site.
""The University of Texas at Austin has a duty to preserve and study history,"" Mr Fenves continued.
""But our duty also compels us to acknowledge that those parts of our history that run counter to the university's core values, the values of our state and the enduring values of our nation do not belong on pedestals in the heart of the Forty Acres.""
The university removed a statue of Confederate President Jefferson Davis from its campus in 2015 following a mass shooting at a church in Charleston, South Carolina.
Mr Fenves added that he spoke with members of faculty, students and alumni following the deadly demonstrations in Virginia.
Dozens of schools and local governments have begun removing statues dedicated to the Confederacy, which was a pro-slavery rebellion against the federal government.
It follows violent clashes at a march on 12 August in Charlottesville, Virginia, where white supremacists and neo-Nazis protested against the removal of a monument of General Lee.
A 32-year-old woman was killed and nearly 20 people injured when a car was driven into a crowd of counter-protesters.
Last week, four Confederate-era statues were taken down in Baltimore, Maryland, while the governors of Virginia and North Carolina have ordered the removal of similar monuments in their states.
Recent removals of Confederate statues has sparked backlash among an outspoken group of Americans who view the statues as symbols of US history and southern culture.
President Donald Trump weighed in on the debate on Thursday, tweeting that controversial monuments are ""beautiful"", adding that they would be ""greatly missed"" from US cities.
But opponents argue the monuments serve as an offensive reminder of America's history of slavery and racial oppression.
""The historical and cultural significance of the Confederate statues on our campus - and the connections that individuals have with them - are severely compromised by what they symbolise,"" Mr Fenves said.
""Erected during the period of Jim Crow laws and segregation, the statues represent the subjugation of African Americans. That remains true today for white supremacists who use them to symbolise hatred and bigotry.",The University of Texas has removed four Confederate monuments overnight in the wake of violent clashes in Virginia earlier this month.
223,"Skills Development Scotland, Highlands and Islands Enterprise, ScotlandIS and Education Scotland are backing the Â£250,000 fund called Digital Xtra.
Among the aims of the scheme is to support extracurricular computing clubs for youngsters aged 16 and under.
A panel will evaluate submissions for funding.
Representatives from technology businesses, Scottish government and education will be on the panel.","A new fund has been set up to award grants to projects that encourage children and teenagers to code, develop websites and create digital animations."
224,"The 20-year-old Frenchman joined Celtic from Fulham in the summer, with his 32-goal haul ensuring he is now one of Europe's most sought-after strikers.
And Rodgers insists Dembele has benefited massively from making the switch to Scotland's top-flight.
""He's developed very well and met the challenge to play for a big club, feel pressure and win trophies,"" he said.
""He wants to improve and that's the type of player you want to work with.""
Dembele cost Celtic a development fee of just £500,000 but his value has rocketed after a stunning debut season.
Rodgers concedes that the striker will leave the club one day but expects a lot more from him before that time comes.
""I think we all know at some point he will move on, it's just about timing,"" Rodgers told BBC Sport.
""But I know at this point he's very happy here. He's only 20 and he's been a joy to work with.
""There's no doubt there will be a natural point in time that he goes, I think we all understand that. Unfortunately, that's how it goes up here. But if he serves the club well in his time here that's all we can ask for.""
Media playback is not supported on this device
Celtic will win the Premiership title if they beat Hearts at Tynecastle on Sunday.
They are unbeaten in the league this season, have already won the League Cup and are in the semi-final of the Scottish Cup.
Rodgers described the club's unbeaten run as ""incredible"" but knows his side have a lot to do to go through the whole campaign without suffering a loss.
""I think the unbeaten one is very difficult,"" he said. ""We have nine games to go and the last five games you go into a split. The last five are against top six teams so it becomes really difficult.
""In terms of the treble, we never really mention it. We have to stabilise that emotion and just think about performing and playing well.
""We want to win every game we play. For the remainder of season we will push as hard as we have all season - I think the group is getting better as they play more together.""
Watch the full Football Focus interview on BBC One on Saturday from 12:00 BST.",Celtic boss Brendan Rodgers has revealed his delight at the strides made by Moussa Dembele this season.
225,"Terry Smith, 33, died in hospital in November 2013, a day after being held in Surrey under the Mental Health Act.
He had been taken to Staines police station and kept in restraints.
The Independent Police Complaints Commission (IPCC) has referred the case to the Crown Prosecution Service.
The IPCC said two sergeants, one of whom had retired, and a health worker contracted to Surrey Police could face charges of gross negligence manslaughter and misconduct in public office.
It had investigated eight police officers and two staff,  the methods used to detain Mr Smith and why he was kept under restraint at the police station.
Police arrested Terry Smith, a father who lived locally, in Stanwell at about 22:00 GMT on 12 November 2013 after a call for assistance from an ambulance crew.
He fell ill and was taken to St Peter's hospital in Chertsey, where he died the following day.
IPCC Commissioner Jennifer Izekor said:  ""We have now completed our investigation into the events leading up to Mr Smith's death.
""I have decided to refer the case to the CPS to determine whether any criminal charges should be brought against any officer.
""My thoughts remain with everyone affected by Mr Smith's death.""",Charges of manslaughter and misconduct in public office are to be considered against three police workers following the death of a man restrained by officers.
226,"The hotel chain said the investment programme would bring 150 jobs and 10 apprenticeships.
Two of the new hotels, located off the Royal Mile on New Market Street, will open at the end of this month.
The third, which will be in York Place in the New Town, is scheduled to open in late spring.
The new sites will take the total number of Premier Inn hotels in the city to 14, with more than 1,500 rooms.
One of the two hotels on the Royal Mile will be a hi-tech ""hub by Premier Inn"", the chain's first in Scotland. The hub will allow guests to control their room settings using an Apple Watch.
Additional investment by Premier Inn in the city includes a £1.8m extension at Premier Inn Newcraighall and a £1.2m refurbishment at Edinburgh Central.
Simon Ewins, chief operating officer for Premier Inn and hub, said: ""We are absolutely delighted to be opening three new fantastic hotels in Edinburgh and it is great that we are able to bring so many jobs and apprenticeships to the city.
""Hub is a new concept for us which we are really excited about, especially as this is the first one in Scotland and outside of London.
""We are confident our guests visiting the beautiful city of Edinburgh will enjoy this new digital experience and we will look to open more in Scotland in the future.""",Premier Inn has announced it is investing £35m in opening three new hotels and revamping two others in Edinburgh.
227,"Courts such as Stirling, Kilmarnock and Dundee were jailing nearly 20% of women appearing before them, compared to 7% in Edinburgh and 5% in Airdrie.
The judiciary said it was not appropriate for an active sheriff to be interviewed for the programme, but retired sheriff Peter Gillam gave the view from the bench. He served as a sheriff from 1991 until 2013, and said the variations reflected the independence of the judiciary.
He said: ""Obviously there is now, as I understand it, a board set up for advising on sentence to the judiciary.
""But every judge is his own person or her own person, and they all have different ways of dealing with things, they all have different views and they are all independent.
""There has to be a certain degree of uniformity and that is undoubtedly enforced by the existence of an Appeal Court so anyone who does something which is particularly outrageous, as far as what is perceived to be the appropriate way of dealing with people, that can be corrected.
""But variety is the spice of life and I think that it would be wrong to try to dragoon the judiciary into dealing with things which they believe to be the correct way of dealing with things.
""They have local knowledge, they know the person, they have full information and they deal with it to the best of their ability and you have to trust that person to deal with it in that particular way.""",Statistics released under Freedom of Information legislation have shown significant variations in the proportion of jail sentences handed down in sheriff courts across Scotland.
228,"The 25-year-old batsman died from a haemorrhage in the brain two days after being hit on the neck during a match in Sydney on 25 November 2014.
The five-day hearing was convened to examine if his death was avoidable.
Some players giving testimony at the inquest have been accused of dishonesty for saying they could not recall many of the events of the day.
The inquest, which began on Monday at New South Wales Coroner's Court, heard evidence from players including Brad Haddin, Doug Bollinger and David Warner.
The court examined whether Hughes, batting for South Australia in a Sheffield Shield game against New South Wales, had been targeted by short-pitch bowling, or had received unsettling comments from opponents.
Questions were also raised about whether a bowler told Hughes ""I'm going to kill you"" before he was fatally injured.
Hughes' parents walked out of the inquest as the counsel representing the family, Greg Melick SC, criticised the players for repeatedly answering many questions by saying ""no recollection"" or ""I can't recall"".
""At the end of the day, there was a plan, there was sledging, and short-pitched balls were bowled at Phillip Hughes, which increased the risk of an injury,"" Mr Melick said.
""Nine consecutive short-pitched balls from the one bowler aimed at leg stump or the body of the batsman was going too far.""
Suggestions of fabricated evidence were denied by the counsel representing Cricket Australia and its players.
Hughes' brother and sister later exited the inquest as the sworn statements from the players were defended.
The counsel assisting the coroner, Kristina Stern SC, said concerns about sledging and short balls were ""unnecessary"" and should not form part of the findings.
NSW State Coroner Michael Barnes will deliver his finding from the inquest on 4 November.
A previous report, commissioned by Cricket Australia, said protective helmets should be compulsory for batsman facing fast- and medium-paced bowling.
But it said helmets meeting the newest safety standards would not have saved Hughes' life.",The family of Australian cricketer Phillip Hughes walked out of an inquest into his death.
229,"The 19 were freed following mediation by South Sudan's government, it adds.
This is the first group to be released since about 125 children were abducted in the cross-border raid.
Members of the Murle community carried out the attack. They have previously been accused of stealing livestock and children to raise as their own.
More than 200 people from the rival Nuer community in Ethiopia's western Gambella province were killed in the 15 April raid.
Ethiopian forces crossed into South Sudan, encircling villages where the children were held.
However, the children were freed without any fighting after South Sudanese officials entered into negotiations with the abductors, the Ethiopian News Agency reports.
Negotiations would continue to free all the children, it reports.
""The children must be rescued and be reunited with their families. The cattle that was taken should also be handed over to the right owners,"" South Sudan's ambassador to Ethiopia, James Pitia Morgan, is quoted as saying.
Ethiopia shares a long border with South Sudan and cross-border raids involving the Murle and Nuer communities are not uncommon.
However, the scale of the 15 April shocked many people in both countries, and led to protests in Ethiopia's Gambella region with parents demanding greater protection for their children.
Ethiopia's Prime Minister Hailemariam Desalegn said ""primitive and destructive forces"" carried out the raid.","At least 19 Ethiopian children held captive by an armed South Sudanese group for nearly a month have been freed, Ethiopian state media reports."
230,"Priyanka Yoshikawa, 22 and who also has an elephant training licence, said she would use her win to ""change perceptions"".
Last year, Ariana Miyamoto was the first mixed-race person to win the Miss Universe pageant.
Critics complained then that a ""pure"" Japanese should have won.
Only about 2% of babies born every year in Japan are biracial, or ""haafu"", the Japanese word for half.
""We are Japanese,"" Ms Yoshikawa told AFP news agency. ""Yes, my dad is Indian and I'm proud of it, I'm proud that I have Indian in me. But that doesn't mean I'm not Japanese.""
She credited her win to Ms Miyamoto, saying she had helped show ""mixed girls the way"".
""Before Ariana, haafu girls couldn't represent Japan,"" said Ms Yoshikawa. ""That's what I thought too. Ariana encouraged me a lot by showing me and all mixed girls the way.
""I know a lot of people who are haafu and suffer,"" she said. ""When I came back to Japan, everyone thought I was a germ.""
""Like if they touched me they would be touching something bad. But I'm thankful because that made me really strong.""
A few years ago, a woman of Indian descent, Nina Davuluri, faced Twitter abuse after being crowned Miss America. Some called her an ""Arab"", some a ""terrorist"", and some an ""Arab terrorist"". Indians, in large numbers, came to her defence.
Now, Ms Yoshikawa is being criticised for having an Indian father and some Indians have taken to social media to advise the Japanese to ""get over it"". One Twitter user said she won because she ""must have deserved it"" while another said ""after Gautam Buddha, Ms Yoshikawa is the only Indian to make it big in Japan"".
In Ms Yoshikawa's case - as in Ms Davuluri's before her - the biggest complaint seems to be the ""lack of purity"". But some are wondering whether this debate over purity has any relevance in today's globalised world.
As one Twitter user said: ""Talent cannot be controlled or ruled by caste, colour, gender or country of origin.""
The pageant winner, also an avid kick-boxer and qualified elephant trainer, said that she hoped to change perceptions.
""When I'm abroad, people never ask me what mix I am. As Miss Japan, hopefully I can help change perceptions so that it can be the same here too.""
Ms Yoshikawa's win did not trigger the backlash that Ms Miyamoto received on social media.
There were however, several on Twitter that expressed unhappiness.
""It's like we're saying a pure Japanese face can't be a winner,"" said one user.
""What's the point of holding a pageant like this now? Zero national characteristics,"" another complained.
Ms Yoshikawa however, was not letting the doubters get to her.
""There was a time as a kid when I was confused about my identity,"" she said. ""But I've lived in Japan so long now I feel Japanese.""","A half-Indian woman has been crowned Miss World Japan, the second year in a row a biracial person has won a beauty pageant in the country."
231,"The Moscow city court accepted the arguments of Russia's justice ministry that as the term ""Scientology"" is a registered US trademark, the Church cannot be considered a religious organisation.
The organisation plans to appeal, reports said.
The court set a six-month timescale for the Church to close, the ministry said.
Created by science fiction writer L Ron Hubbard in 1954 and based in Los Angeles, California, the Church of Scientology has generated controversy around the world.
Critics say that it is a cult and that it scams its members, while supporters maintain that it provides spiritual support to its followers.",A Russian court has ruled that the Moscow branch of the Church of Scientology should be dissolved.
232,"Bristol-born Kersey-Brown grew up in Penmaenmawr and was a Wales schoolboy rugby union international.
He spent five years at London Welsh before switching codes to turn professional with Huddersfield in November 1967.
Kersey-Brown, who also played for Oldham, won two caps for Wales in the 1968-69 season.
""We're really sorry to hear that Alex has lost his long battle with cancer,"" Wales Rugby League's chairman Brian Juliff said.
""On behalf of everyone at Wales Rugby League, I would like to send our condolences to Alex's family and friends at this sad time.""","Former Wales rugby league international Alex Kersey-Brown has died, aged 73, after a long battle with illness."
233,"The Labour leader told ITV it was ""impossible"" for members of his top team to remain in place if they rebelled against a three-line whip.
Shadow Welsh Secretary Jo Stevens quit last week over the issue - other senior MPs say they will rebel.
Mr Corbyn has ordered all Labour MPs to support the bill triggering Article 50.
Labour backed the campaign to keep the UK in the EU in the referendum in June and many Labour MPs represent constituencies which voted for Remain.
But many seats which voted to leave the EU are also represented by Labour MPs.
Mr Corbyn says he understands the pressures on MPs in pro-Remain constituencies but has called on them to unite around the important issues.
His shadow home secretary Diane Abbott has said that, since a UK-wide referendum with a 72% turnout returned a vote in favour of withdrawing from the EU, it would ""be very undermining of democracy"" for MPs to vote against beginning the formal process of leaving.
Ms Stevens quit on Friday saying Brexit was a ""terrible mistake"". Shadow minister Tulip Siddiq also quit last week saying she would vote against the EU (Notification of Withdrawal) Bill.
Two Labour whips, Jeff Smith and Thangam Debbonaire, who are in charge of party discipline, have also said they will rebel - though they have not resigned.
Another shadow minister Daniel Zeichner has said he will vote against the bill, as will other MPs including former Culture Secretary Ben Bradshaw.
Mr Corbyn told ITV's Peston on Sunday: ""There was no need for anyone to resign at this stage. It's obviously impossible to carry on being in the shadow cabinet if you vote against a decision made after a very frank and very long discussion of the shadow cabinet earlier this week.""
Labour's deputy leader Tom Watson has said divisions in the party will be handled sensitively and suggested some rebels could be back in senior roles ""within months"".
The European Union (Notification of Withdrawal) Bill was introduced after the Supreme Court ruled that parliament - not just the government alone - must vote to trigger Article 50 of the Lisbon Treaty, which starts the formal process of the UK leaving the EU.
Prime Minister Theresa May has promised to begin the formal process of leaving by the end of March.
The bill is due to be debated by MPs on Tuesday - in a sitting that may last until midnight - and clear the Commons on 8 February, after which it will move to the House of Lords.
Labour has demanded changes including giving the Commons a vote on the final Brexit deal before European leaders or MEPs consider it.
The Liberal Democrats have vowed to oppose the triggering of Article 50 unless there is a guarantee of another referendum on the final Brexit deal that is agreed with Brussels, while the SNP has vowed to table 50 amendments to the legislation.",Jeremy Corbyn has warned shadow cabinet ministers not to expect to stay in their jobs if they vote against starting the process of leaving the EU.
234,"He felt a problem after coming on as a second-half substitute at St James' Park and a scan showed a strain.
It is the latest in a long line of injury absences for the 26-year-old, who had just returned to action after knee and foot problems.
Sturridge has made six appearances so far this season, scoring four goals.
Having scored 28 times for Liverpool and England in 2013-14, he was restricted to just 18 appearances last season because of thigh, calf and hip injuries.
After recovering from a hip operation in May, Sturridge played three games at the start of this term but then did not feature from 4 October until 29 November.
He scored twice in the 6-1 League Cup quarter-final win at Southampton last Wednesday but was hurt at Newcastle after coming on in the 62nd minute.
When a foot problem picked up in training forced him to miss the Reds' Europa League win over Bordeaux on 26 November, Liverpool boss Jurgen Klopp said Sturridge had to learn ""what is serious pain and what is only pain"".
Liverpool, currently eighth in the Premier League, face seven games from now until the first leg of their League Cup semi-final at Stoke on 5 January.",Liverpool striker Daniel Sturridge will be out for several weeks after suffering a hamstring injury during Sunday's defeat by Newcastle.
